ZFA:0009251	1.1399924571335241E-16	1.0784328644483138E-13	"granulocyte monocyte progenitor cell"
ZFA:0009141	6.15012274550214E-15	5.818016117245024E-12	"macrophage"
ZFA:0009017	1.2674376731870842E-14	1.1989960388349817E-11	"monoblast"
ZFA:0009064	1.2674376731870842E-14	1.1989960388349817E-11	"mononuclear phagocyte"
ZFA:0009253	1.2674376731870842E-14	1.1989960388349817E-11	"promonocyte"
ZFA:0009265	1.2674376731870842E-14	1.1989960388349817E-11	"monocyte"
ZFA:0001159	1.8848495318159132E-14	1.783067657097854E-11	"immune system"
ZFA:0005023	4.0087564075759493E-14	3.792283561566848E-11	"hematopoietic system"
ZFA:0009088	4.2130377731613466E-14	3.985533733410634E-11	"professional antigen presenting cell"
ZFA:0009309	3.073802391548405E-13	2.907817062404791E-10	"leukocyte"
ZFA:0000026	4.1953684094228146E-13	3.9688185153139824E-10	"hatching gland"
ZFA:0009021	6.997419003892501E-13	6.619558377682306E-10	"common myeloid progenitor"
ZFA:0000339	1.6504072526230253E-12	1.561285260981382E-9	"digestive system"
ZFA:0009136	7.1996741843655765E-12	6.810891778409836E-9	"motile cell"
ZFA:0009356	1.072597313108073E-11	1.014677058200237E-8	"myeloid lineage restricted progenitor cell"
ZFA:0009014	7.025983607986083E-11	6.646580493154834E-8	"hematopoietic stem cell"
ZFA:0000368	1.4337373332313632E-10	1.3563155172368697E-7	"integument"
ZFA:0000058	2.1852710072180354E-10	2.0672663728282616E-7	"polster"
ZFA:0009326	3.3869752286809714E-10	3.204078566332199E-7	"myeloid leukocyte"
ZFA:0005830	3.451894934135967E-10	3.2654926076926244E-7	"hematopoietic cell"
ZFA:0009357	3.756754246179877E-10	3.5538895168861636E-7	"mononuclear cell"
ZFA:0000004	3.887396760559355E-10	3.6774773354891497E-7	"anterior axial hypoblast"
ZFA:0009258	3.9487629233946126E-10	3.7355297255313034E-7	"angioblastic mesenchymal cell"
ZFA:0000086	1.00227684051744E-9	9.481538911294981E-7	"EVL"
ZFA:0009081	1.0704357927681425E-9	1.0126322599586629E-6	"mesenchymal cell"
ZFA:0000060	1.1592733879432488E-9	1.0966726249943134E-6	"prechordal plate"
ZFA:0000105	3.2468825296405385E-9	3.0715508730399494E-6	"epidermis"
ZFA:0000056	5.441207737592714E-9	5.147382519762707E-6	"pharynx"
ZFA:0000017	8.962694566019135E-9	8.478709059454102E-6	"endoderm"
ZFA:0009048	1.0984015271700974E-8	1.0390878447029121E-5	"granulocyte"
ZFA:0001185	1.3158936988987138E-8	1.2448354391581832E-5	"periderm"
ZFA:0000036	1.7099914460178938E-8	1.6176519079329276E-5	"liver and biliary system"
ZFA:0001484	2.0414008615472046E-8	1.9311652150236556E-5	"superficial blastomere"
ZFA:0001338	2.42268593391716E-8	2.2918608934856335E-5	"intestine"
ZFA:0000123	2.822532603235732E-8	2.6701158426610027E-5	"liver"
ZFA:0001491	2.822532603235732E-8	2.6701158426610027E-5	"solid compound organ"
ZFA:0000124	2.9585985038471267E-8	2.7988341846393817E-5	"liver primordium"
ZFA:0009327	5.960477530205535E-8	5.638611743574436E-5	"neutrophil"
ZFA:0001122	6.435107303400518E-8	6.087611509016889E-5	"primary germ layer"
ZFA:0009000	6.48734560290673E-8	6.137028940349767E-5	"cell"
ZFA:0005029	7.010900881594404E-8	6.632312233988307E-5	"rostral blood island"
ZFA:0001486	1.1773904822159254E-7	1.1138113961762654E-4	"epithelium"
ZFA:0000041	4.946328590316532E-7	4.679226846439439E-4	"mesoderm"
ZFA:0005738	5.52278360030371E-7	5.224553285887309E-4	"intestinal bulb primordium"
ZFA:0000292	1.06213151032658E-6	0.0010047764087689447	"surface structure"
ZFA:0009138	1.4248923040908245E-6	0.00134794811966992	"mesodermal cell"
ZFA:0005737	1.5451909197191507E-6	0.0014617506100543165	"intestinal rod"
ZFA:0000112	1.6586884983131111E-6	0.001569119319404203	"gut"
ZFA:0000071	3.6358475639561277E-6	0.003439511795502497	"shield"
ZFA:0009324	6.003601921117772E-6	0.005679407417377413	"myeloid cell"
ZFA:0001378	6.088490012288739E-6	0.005759711551625147	"axial hypoblast"
ZFA:0000416	6.090291028509497E-6	0.005761415312969984	"presumptive endoderm"
ZFA:0000529	7.094445670456211E-6	0.0067113456042515755	"kidney"
ZFA:0000436	7.110202735724081E-6	0.00672625178799498	"spleen"
ZFA:0005249	7.241151118051628E-6	0.006850128957676839	"vasculature"
ZFA:0000243	7.4119784500060104E-6	0.007011731613705686	"neuromast"
ZFA:0001204	8.049678678365999E-6	0.007614996029734235	"axial mesoderm"
ZFA:0005028	1.3259230461899814E-5	0.012543232016957225	"ventral wall of dorsal aorta"
ZFA:0000117	1.5536310541401264E-5	0.014697349772165596	"hypoblast"
ZFA:0001439	2.0117068921763168E-5	0.019030747199987957	"anatomical system"
ZFA:0001512	3.540933659492278E-5	0.03349723241879695	"anatomical group"
ZFA:0001306	3.571671526885566E-5	0.03378801264433746	"pharyngeal arch"
ZFA:0007116	3.7789729187427616E-5	0.03574908381130652	"pleuroperitoneal region"
ZFA:0000084	5.248265264387825E-5	0.04964858940110882	"yolk"
